date,price,total_volume,market_cap,coin_name
2022-03-17,8.536838712231901,1455626533.6918294,946081401.9243534,apecoin
2022-03-18,8.536838712231901,1455626533.6918294,946081401.9243534,apecoin
2022-03-19,12.988729425242765,5214126303.852453,1740629590.0400217,apecoin
2022-03-20,11.53516533563708,1816679748.2748725,1542254655.9177086,apecoin
2022-03-21,9.61821369999986,1381888008.2736359,1261482818.2726943,apecoin
2022-03-22,10.483837782502226,1435512946.3926787,1369782083.4225965,apecoin
2022-03-23,12.266127009622561,1694958189.3887312,1621983419.0305803,apecoin
2022-03-24,13.286062710388501,1896631865.5149012,2213474682.9891324,apecoin
2022-03-25,12.79928941660666,1683233156.1230593,2221104963.054661,apecoin
2022-03-26,12.382675759261863,1127659906.895822,2086767749.1520858,apecoin
2022-03-27,13.847021291100928,1189565791.4253721,2329476789.025613,apecoin
2022-03-28,14.18646135013392,966740521.1790882,2377381131.210347,apecoin
2022-03-29,13.986992258917363,1423663766.0330324,2403638248.7220464,apecoin
2022-03-30,13.590267919386422,882224857.3377978,2306349178.925826,apecoin
2022-03-31,14.104502294957037,959389473.0782123,2367673997.6360755,apecoin
2022-04-01,12.700740339255667,729205645.6214988,2123205275.3242216,apecoin
2022-04-02,12.797642018230011,641309049.2390248,3554210553.917943,apecoin
2022-04-03,12.420142421461922,639023318.9647151,3441176365.9934916,apecoin
2022-04-04,12.320673821554694,444666473.8878333,3407383093.6942987,apecoin
2022-04-05,11.952930580358872,487764332.51033026,3320928687.585793,apecoin
2022-04-06,11.617339696554245,632116345.1261525,3227092504.756663,apecoin
2022-04-07,10.659660953158255,720976608.4147811,2964362601.7740498,apecoin
2022-04-08,11.243658713583923,480131640.7021636,3111892469.0195513,apecoin
2022-04-09,10.784827357765424,473588847.3924162,2981121259.830277,apecoin
2022-04-10,10.958970942417803,211035486.68833327,3037027857.1877594,apecoin
2022-04-11,12.225769197042208,518344184.2692845,3405843246.4331846,apecoin
2022-04-12,10.904991385611714,763833511.859494,3027316399.193208,apecoin
2022-04-13,11.636171214348515,554406609.780884,3229037511.9817114,apecoin
2022-04-14,13.287929347210952,1101316994.2822914,3717924422.165189,apecoin
2022-04-15,12.274877239177338,735552845.4776587,3393699526.052358,apecoin
2022-04-16,12.211134947638373,465222979.7361442,3388416580.1089582,apecoin
2022-04-17,11.692114931448614,380304774.8374951,3245710282.469819,apecoin
2022-04-18,11.678311265723812,315492657.44916594,3232401004.7501416,apecoin
2022-04-19,11.873928764920997,425319790.87524253,3383443903.221069,apecoin
2022-04-20,13.396587358646839,1029790532.3675408,3780347407.5566697,apecoin
2022-04-21,16.81208406777226,2910799991.303506,4775279104.999785,apecoin
2022-04-22,14.29455563273723,1498995950.3487618,4061696648.378662,apecoin
2022-04-23,15.291711925038191,1210706173.12258,4343822732.583293,apecoin
2022-04-24,16.679431472473272,2328511077.180502,4754938176.848155,apecoin
2022-04-25,16.79171183075766,1571854290.0195482,4778812393.628102,apecoin
2022-04-26,19.397882000482838,2253555414.895164,5555756950.965296,apecoin
2022-04-27,17.99471247145527,1919103230.615756,5095195076.128879,apecoin
2022-04-28,19.38092511731165,1572654380.808166,5498831192.207859,apecoin
2022-04-29,23.628971352147655,4136760789.6587024,6813397144.803411,apecoin
2022-04-30,19.196781408954674,6599176324.388327,5431775302.871793,apecoin
2022-05-01,20.0855749092906,5718640848.465253,5725677056.887597,apecoin
2022-05-02,15.966551246499254,3771627383.2223043,4548471638.558833,apecoin
2022-05-03,15.065675567641762,2492750393.2884555,4302116023.743537,apecoin
2022-05-04,14.15478847300594,1553388571.0571623,4029715202.6975746,apecoin
2022-05-05,15.568760830140935,2861829131.348451,4433150481.397879,apecoin
2022-05-06,13.757914799387576,2018095490.1472542,3913851993.463907,apecoin
2022-05-07,13.281253622447622,1062770211.8288265,3781784145.7513733,apecoin
2022-05-08,12.395678696515995,883991485.9961607,3536792395.344512,apecoin
2022-05-09,11.217417140129333,810210573.6006687,3168575550.749157,apecoin
2022-05-10,8.126414105454488,1411123689.807955,2338890209.8901935,apecoin
2022-05-11,8.96807284597365,1796299678.711712,2515934311.5644464,apecoin
2022-05-12,5.628892521294298,1527416169.2470915,1623421088.5275588,apecoin
2022-05-13,7.849348405057369,2493431615.091304,2341343623.259747,apecoin
2022-05-14,8.5699546184567,1597328244.9464219,2443867642.5036407,apecoin
2022-05-15,8.679468715543836,1027435663.4095422,2444890769.280611,apecoin
2022-05-16,9.079528011999404,665113727.2674122,2597345218.387182,apecoin
2022-05-17,8.066059021509373,676390146.0112911,2300944445.680937,apecoin
2022-05-18,8.915417261389637,843640284.7479454,2603287605.8898144,apecoin
2022-05-19,7.89399957908639,644779494.65572,2308143073.138177,apecoin
2022-05-20,8.10643510693022,603961287.7805746,2372020997.8839283,apecoin
2022-05-21,7.782967204719156,511178277.0825938,2279217574.6503334,apecoin
2022-05-22,8.045032423788763,308551008.1364321,2357908233.416229,apecoin
2022-05-23,8.042319669750693,359937794.2717753,2348814059.394373,apecoin
2022-05-24,7.746248816869548,556846758.174447,2261606663.198784,apecoin
2022-05-25,7.504005928173767,597629540.4607896,2187311297.6945815,apecoin
2022-05-26,7.341055204715511,322670862.87640655,2145001185.8829036,apecoin
2022-05-27,6.4033462918071935,451728925.20553076,1866426956.5131037,apecoin
2022-05-28,6.07289948057631,543142564.9254453,1772166638.541301,apecoin
2022-05-29,6.248307557446616,280507056.7880334,1830416408.8900805,apecoin
2022-05-30,6.237994554868127,230204358.31633058,1825569693.0864105,apecoin
