date,price,total_volume,market_cap,coin_name
2021-04-26,21.50514444673564,141275581.2659282,2762123911.0471134,avalanche-2
2021-04-27,26.22744871707413,260578636.22832766,3360216107.3917956,avalanche-2
2021-04-28,27.590045746375115,221928172.9493424,3552417979.1175704,avalanche-2
2021-04-29,28.38057879190039,277058343.56552505,3651668306.55792,avalanche-2
2021-04-30,28.011404559210863,253046449.40736306,3618611690.5758147,avalanche-2
2021-05-01,32.87361571668135,473821081.5676769,4207796400.048865,avalanche-2
2021-05-02,31.83887538844901,517110886.44768643,4113040049.6581416,avalanche-2
2021-05-03,31.30077874087277,279840964.3043837,4024642460.529015,avalanche-2
2021-05-04,36.02053644107485,626327133.7186668,4632809115.471254,avalanche-2
2021-05-05,30.477425533830655,417038602.09070796,3946615836.216188,avalanche-2
2021-05-06,35.35734224274425,266094761.4489015,4561814156.233879,avalanche-2
2021-05-07,37.99576748246954,469600110.23071206,4887941649.743038,avalanche-2
2021-05-08,38.24824301705053,673472110.85109,4929607619.567562,avalanche-2
2021-05-09,38.39548288254306,276293453.14697516,4948723703.463895,avalanche-2
2021-05-10,39.06701826894676,287333690.25970376,5007421179.676972,avalanche-2
2021-05-11,34.924303068576165,516365754.36653215,4509349122.2778225,avalanche-2
2021-05-12,37.17524430469056,346412805.8696742,4772825464.801782,avalanche-2
2021-05-13,33.4787959998622,627072756.4393809,4552216260.726946,avalanche-2
2021-05-14,35.04553260694779,558904348.2719007,4435737241.656202,avalanche-2
2021-05-15,37.16658831410479,422257216.836676,4776624358.453818,avalanche-2
2021-05-16,34.47587959792063,572957487.1037196,4459775094.314252,avalanche-2
2021-05-17,36.180002165317056,595249553.1811095,4645139397.748668,avalanche-2
2021-05-18,33.567339487428264,524528860.56920546,4376339185.087632,avalanche-2
2021-05-19,36.831548268760855,454537735.89624524,4691253616.5686865,avalanche-2
2021-05-20,23.938405754256916,725492322.4154593,3147719253.4954915,avalanche-2
2021-05-21,24.951411424044355,439772793.02975297,3213828553.9803147,avalanche-2
2021-05-22,21.7594847330305,323128249.21680933,2790385622.598601,avalanche-2
2021-05-23,18.869815321404793,192281707.47663826,2438234418.0908175,avalanche-2
2021-05-24,15.88098195110946,324565112.4037476,2041886573.8670611,avalanche-2
2021-05-25,19.351895194004324,319094870.19067025,2506451157.742522,avalanche-2
2021-05-26,19.497741248016307,230025913.19100344,2532493078.0033445,avalanche-2
2021-05-27,20.835907241473308,228359717.38723347,2679286494.72359,avalanche-2
2021-05-28,19.083272550301103,155195303.00046673,2483878922.287402,avalanche-2
2021-05-29,16.83857943912863,159354633.67136985,2186094070.5359745,avalanche-2
2021-05-30,16.18824483090784,102432769.49294424,2114758160.381429,avalanche-2
2021-05-31,16.50800967730034,79071200.59334275,2145425505.8143086,avalanche-2
2021-06-01,18.07312492336038,102016798.0440714,2353206153.5757246,avalanche-2
2021-06-02,17.819336612889675,95158358.82394269,2324888175.721887,avalanche-2
2021-06-03,18.740486656539,118743410.66092943,2444614509.8610964,avalanche-2
2021-06-04,20.26487940080013,138838327.91539803,2659208521.907187,avalanche-2
2021-06-05,18.26917419828292,130131982.30481091,2388789630.0315022,avalanche-2
2021-06-06,17.145530478676655,106947811.76107301,2236462223.7562146,avalanche-2
2021-06-07,17.40685571336171,55449625.55530477,2268194432.7625027,avalanche-2
2021-06-08,15.370267178714089,150139153.4265329,2665865012.952466,avalanche-2
2021-06-09,14.862452395149687,147281949.88847342,2562659411.9361844,avalanche-2
2021-06-10,15.360058958912425,128547102.1919657,2648519211.9450064,avalanche-2
2021-06-11,14.197480798043506,106540918.39861615,2460165965.46623,avalanche-2
2021-06-12,13.4428618589502,94662491.78348278,2317772711.1909094,avalanche-2
2021-06-13,13.62576969363913,97952798.92975728,2362565807.542536,avalanche-2
2021-06-14,14.806039901754346,115599101.42754157,2539431832.8260503,avalanche-2
2021-06-15,15.127537288450215,108610604.31535152,2608466642.3346424,avalanche-2
2021-06-16,14.821299355540615,101565623.97048505,2559572981.306809,avalanche-2
2021-06-17,14.015935398998028,98010447.83910854,2409672158.1831765,avalanche-2
2021-06-18,14.864389472484927,127140118.492252,2553417108.576602,avalanche-2
