date,price,total_volume,market_cap,coin_name
2021-04-19,2171.64698207999,103647.0689529886,494299217.7966192,staked-ether
2021-04-20,2158.4666145601723,431.69332291203443,542126589.1605366,staked-ether
2021-04-21,2215.3781008654228,66428.27940613223,555497664.533885,staked-ether
2021-04-22,2294.700719477077,97810.69269825707,576639980.7681509,staked-ether
2021-04-23,2335.2102233718106,73407.63151920518,585848852.230604,staked-ether
2021-04-24,2253.902603151857,50726.51236015995,565826796.372817,staked-ether
2021-04-25,2188.4086211927265,165463.20381246172,553127173.3006326,staked-ether
2021-04-26,2277.552315020002,136339.43991753826,574408905.5561506,staked-ether
2021-04-27,2436.778487944533,135254.78211782372,614456049.6161923,staked-ether
2021-04-28,2678.8735965312226,908389.4449659302,676456203.2798262,staked-ether
2021-04-29,2774.5813700245208,928159.2239889475,709163451.5388601,staked-ether
2021-04-30,2774.3526944676128,292122.8861156898,710644702.0579995,staked-ether
2021-05-01,2689.4091826183712,1176354.4861071405,690706798.2627119,staked-ether
2021-05-02,2867.0008200148714,604540.317427004,738880504.4333328,staked-ether
2021-05-03,2872.241274182734,436254.83984884917,741949565.4860098,staked-ether
2021-05-04,3322.161939619979,928629.2302758599,857736338.5958,staked-ether
2021-05-05,3253.483985554426,912158.51979771,850165593.9817842,staked-ether
2021-05-06,3507.5674842655912,732915.7070911678,956207198.0695695,staked-ether
2021-05-07,3481.538939627244,873699.0028453228,958274123.4861953,staked-ether
2021-05-08,3466.4510158776084,1101383.0022863825,1069920239.5706303,staked-ether
2021-05-09,3893.7036487122223,11420710.999399489,1267235759.4814012,staked-ether
2021-05-10,3908.0317598510605,2130746.144799231,1303074816.9749866,staked-ether
2021-05-11,3998.4359433464997,3497120.5888799895,1341238586.5148304,staked-ether
2021-05-12,4087.7556914839306,1401292.370410504,1375087905.8983538,staked-ether
2021-05-13,3936.137737674107,2741139.788079122,1328837396.207625,staked-ether
2021-05-14,3687.78168533037,2313109.471281444,1253121744.9315715,staked-ether
2021-05-15,4066.371413302283,4768501.188345241,1377930608.5173578,staked-ether
2021-05-16,3793.9328258871333,2029142.1398311513,1308400999.2253513,staked-ether
2021-05-17,3578.828534191375,1823519.79024783,1230824404.55035,staked-ether
2021-05-18,3280.4596998461175,5074496.95753498,1130747577.4526253,staked-ether
2021-05-19,3327.276910059446,840972.2853189744,1170214897.8005838,staked-ether
2021-05-20,2469.5820319152413,9807968.590125304,904861058.5097243,staked-ether
2021-05-21,2738.7558636932326,3771081.677446625,962371941.7649771,staked-ether
2021-05-22,2393.131601681522,2148359.395694689,844568022.8309705,staked-ether
2021-05-23,2291.951272383459,2037601.211628654,962431004.9661512,staked-ether
2021-05-24,2107.1096801280564,1929898.2021083643,867119265.0082828,staked-ether
2021-05-25,2605.9755304831187,2889370.452775026,1078149785.2522917,staked-ether
2021-05-26,2692.770315645141,2470541.009721001,1134615330.4645839,staked-ether
2021-05-27,2864.9359668592583,4084409.23666278,1204718909.0301158,staked-ether
2021-05-28,2737.561140172022,8227280.43943255,1214557376.2937343,staked-ether
2021-05-29,2416.3744337252556,1864800.1677993648,1062509186.3598927,staked-ether
2021-05-30,2284.5217123444268,14744905.265661975,997552834.2905425,staked-ether
2021-05-31,2380.7152618390073,2196306.4940612563,1056973450.8858551,staked-ether
2021-06-01,2686.587504263337,20585531.326668836,1213071707.9638631,staked-ether
2021-06-02,2629.82439468256,47492268.829229526,1183426039.323147,staked-ether
2021-06-03,2709.8252454444087,6757403.2216157215,1233045994.7736,staked-ether
2021-06-04,2871.0438122979585,1387056.3272320854,1311122176.8709826,staked-ether
2021-06-05,2686.4342464554893,1795494.9886855476,1232282614.7543592,staked-ether
2021-06-06,2589.516060618161,863759.9980169901,1188509689.7182548,staked-ether
2021-06-07,2703.3800747943146,2352496.2028536433,1240978738.45256,staked-ether
2021-06-08,2589.644352154117,2906039.0308958325,1204690845.99007,staked-ether
2021-06-09,2525.3271219928274,2212508.729091388,1176110910.7923038,staked-ether
2021-06-10,2619.8681110558573,7499492.335316165,1229435515.2744942,staked-ether
